Global Village
Greek Circle
Shop One
Advantage FCU
The Market at Global Village
Cafe & Market at Crossroads
Midnight Oil (Starbuck)
Golisano Hall
ESL Global Cybersecurity Institute
Orange Hall
Hugh L. Carey Hall
Brown Hall
Lewis P. Ross Hall
Max Lowenthal Hall
Thomas Gosnell Hall
Engineering Hall
James E. Gleason Hall
Student Innovation Hall
University Services Center
