Doug May Field
RIT Baseball Field
Varsity Track & Field
Varsity Softball Field
Club Practice Field
Archery Range
Bowl Field
Gordon Field House
Hale-Andrews Student Life Center
Student Health Center
Frank Ritter Arena
Clark Grass Area
