Turf Field
Tennis Courts
Gene Polisseni Center
Box Office - Polisseni Center
SHED
Wallace Library
Liberal Arts Hall
Thomas Gosnell Hall
Max Lowenthal Hall
Campus Store
Hub Express
Community Garden
Infinity Quad
North Plaza
