Bausch & Lomb Center
Magic Spell Studio
Frank E. Gannett Hall
Chester F. Carlson Center for Imaging Science
Center for Bioscience Education & Technology
Institute Hall
James E. Booth Hall
Liberal Arts Hall
Bytes
Vignelli Center for Design Studies
Unity Quad
Eastman Kodak Quad
Infinity Quad
Pocket Park
