The Corner Store
ITS ResNet
DSP Field
Grace Watson Field
Central Quad
Clock-Tower Quad
Sundial Quad
North Quad
Frisina Quad
Rosica Decaro Meditation Garden
Greek Lawn
Gracie's
Beanz
The Commons
The College Grind
Rosica Hall
Lyndon Baines Johnson Hall
Peter Peterson Hall
Residence Hall
Carlton Gibson Hall
Sol Heumann Hall
Helen Fish Hall
Eugene Colby Hall
Center for Residence Life
National Technical Institue for the Deaf
Doug May Field
RIT Baseball Field
Varsity Track & Field
Varsity Softball Field
Club Practice Field
Archery Range
Bowl Field
Gordon Field House
Hale-Andrews Student Life Center
Student Health Center
